R1_PWRUSB,133.91,50.13,90.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,83.22,21.79,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,169.66,17.59,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,109.97,69.70,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,162.45,52.73,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,171.16,55.42,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,140.18,57.77,90.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,79.27,23.72,180.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,85.57,28.60,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,89.07,38.68,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,46.37,42.57,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,43.07,42.86,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,39.47,42.75,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,49.97,63.84,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,38.96,118.83,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,68.39,118.41,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAHNGE,75.29,118.41,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,104.35,72.59,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,91.24,38.67,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,35.39,118.41,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,171.47,22.54,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,79.29,21.60,0.00,,SJ
TP1,67.67,81.44,0.00,TPTP20R,TP20R
TP10,77.27,81.42,0.00,TPTP20R,TP20R
TP11,27.87,27.74,0.00,TPTP20R,TP20R
TP12,34.17,27.66,0.00,TPTP20R,TP20R
TP13,39.87,27.88,0.00,TPTP20R,TP20R
TP14,155.97,74.10,0.00,TPTP20R,TP20R
TP15,70.37,47.92,0.00,TPTP20R,TP20R
TP16,64.87,47.94,0.00,TPTP20R,TP20R
TP17,76.07,47.46,0.00,TPTP20R,TP20R
TP2,72.17,81.46,0.00,TPTP20R,TP20R
TP3,155.97,70.58,0.00,TPTP20R,TP20R
TP4,98.87,113.60,0.00,TPTP20R,TP20R
TP5,98.97,118.12,0.00,TPTP20R,TP20R
TP6,99.17,108.34,0.00,TPTP20R,TP20R
TP7,42.27,97.36,0.00,TPTP20R,TP20R
TP8,41.97,102.48,0.00,TPTP20R,TP20R
TP9,99.17,103.00,0.00,TPTP20R,TP20R
U1,54.07,70.83,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,30.80,70.20,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,100.36,65.76,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,152.16,64.54,0.00,MAX17048G+T10,SON50P200X200X80-9N
